G,1,Shibuya
G,2,Ometo-sando
G,3,Gaiemmae
G,4,Aoyama-itchome
G,5,Akasaka-mitsuke
G,6,Tameiki-sanno
G,7,Toranomon Hills
G,8,Shimbashi
G,9,Ginza
G,10,Kyobashi
G,11,Nihombashi
G,12,Mitsukoshimae
G,13,Kanda
G,14,Suehirocho
G,15,Ueno-hirokoji
G,16,Ueno
G,17,Inaricho
G,18,Tawaramachi
G,19,Asakusa
M,1,Ogikubo
M,2,Minami-asagaya
M,3,Sin-koenji
M,4,Higashi-koenji
M,5,Shin-nakano
M,6,Nakano-sakaue
M,7,Nishi-shinjuku
M,8,Shinjuku-nishiguchi
M,9,Shinjuku-sanchome
M,10,Shinjuku-gyoemmae
M,11,Yotsuya-sanchome
M,12,Yotasuya
M,13,Akasaka-mutsuke
M,14,Kokki-gijidomae
M,15,Kasumigaseki
M,16,Ginza
M,17,Tokyo
M,18,Otemachi
M,19,Awajicho
M,20,Ochanomizu
M,21,Hongo-sanchome
M,22,Korakuen
M,23,Myogadani
M,24,Shin-otsuka
M,25,Ikebukuro
H,1,Naka-meguro
H,2,Ebisu
H,3,Hiro-o
H,4,Roppongi
H,5,Kamiyacho
H,6,Toranomon-hills
H,7,Kasumigaseki
H,8,Hibiya
H,9,Ginza
H,10,Higashi-ginza
H,11,Tsukiji
H,12,Hatchobori
H,13,Kayabacho
H,14,Ningyocho
H,15,Kodemmacho
H,16,Akihabara
H,17,Naka-okachimachi
H,18,Ueno
H,19,Iriya
H,20,Minowa
H,21,Minami-senju
H,22,Kita-senju
T,1,Nakano
T,2,Ochiai
T,3,Takadanobaba
T,4,Waseda
T,5,Kagurazaka
T,6,Iidabashi
T,7,Kudanshita
T,8,Takebashi
T,9,Otemachi
T,10,Nihombashi
T,11,Kayabacho
T,12,Monzen-nakacho
T,13,Kiba
T,14,Toyocho
T,15,Minami-sunamachi
T,16,Nishi-kasai
T,17,Kasai
T,18,Urayasu
T,19,Minami-gyotoku
T,20,Gyotoku
T,21,Myoden
T,22,Baraki-nakayama
T,23,Nishi-funabashi
C,1,Yoyogi-uehara
C,2,Yoyogi-koen
C,3,Meiji-jingumae <Harajuku>
C,4,Omote-sando
C,5,Nogizaka
C,6,Akasaka
C,7,Kokkai-gijidomae
C,8,Kasumigaseki
C,9,Hibiya
C,10,Nijubashimae <Marunouchi>
C,11,Otemachi
C,12,Shin-ochanomizu
C,13,Yushima
C,14,Nezu
C,15,Sendagi
C,16,Nishi-nippori
C,17,Machiya
C,18,Kita-senju
C,19,Ayase
C,20,Kita-ayase
Y,1,Wakoshi
Y,2,Chikatetsu-narimasu
Y,3,Chikatetsu-akatsuka
Y,4,Heiwadai
Y,5,Hikawadai
Y,6,Kotake-mukaihara
Y,7,Senkawa
Y,8,Kanamecho
Y,9,Ikebukuro
Y,10,Higashi-ikebukuro
Y,11,Gokokuji
Y,12,Edogawabashi
Y,13,Iidabashi
Y,14,Ichigaya
Y,15,Kojimachi
Y,16,Nagatacho
Y,17,Sakuradamon
Y,18,Yurakucho
Y,19,Ginza-itchome
Y,20,Shintomicho
Y,21,Tsukishima
Y,22,Toyosu
Y,23,Tatsumi
Y,24,Shin-kiba
Z,1,Shibuya
Z,2,Omote-sando
Z,3,Aoyama-itchome
Z,4,Nagatacho
Z,5,Hanzomon
Z,6,Kudanshita
Z,7,Jimbocho
Z,8,Otemachi
Z,9,Mitsukoshimae
Z,10,Suitengumae
Z,11,Kiyosumi-shirakawa
Z,12,Sumiyoshi
Z,13,Kinshicho
Z,14,Oshiage <SKYTREE>
N,1,Meguro
