# F line
F;01;Y;01;3
F;02;Y;02;3
F;03;Y;03;3
F;04;Y;04;3
F;05;Y;05;3
F;06;Y;06;3
F;07;Y;07;3
F;08;Y;08;3
# Ikebukuro
F;09;Y;09;3
F;09;M;25;3
#
F;12;E;02;3
# Higashi-shinjuku
F;13;S;02;3
F;13;M;09;3
#
F;15;C;03;3
# Shibuya
F;16;G;01;3
F;16;Z;01;3
Z;01;G;01;3
# C line
# Omote-sando
C;04;G;02;3
C;04;Z;02;3
Z;02;G;02;3

C;07;M;14;2
C;07;N;06;2
C;07;G;06;2
M;14;N;06;2
M;14;G;06;2
N;06;G;06;2

M;15;H;06;2
M;15;C;08;2
C;08;H;06;2

I;08;C;09;2
I;08;H;07;2
I;08;Y;18;2
C;09;H;07;2
C;09;Y;18;2
H;07;Y;18;2

I;09;C;11;2
I;09;M;18;2
I;09;Z;08;2
C;11;M;18;2
C;11;Z;08;2
M;18;Z;08;2

C;12;S;07;2
C;12;M;19;2
S;07;M;19;2

I;01;N;01;3
I;02;N;01;2
I;03;N;01;3

S;06;I;10;2
S;06;Z;07;2
I;10;Z;07;2

I;12;E;07;2
I;12;N;11;2
I;12;M;22;2
E;07;N;11;2
E;07;M;11;2
N;11;M;11;2

N;04;E;22;2
H;04;E;23;2

E;24;Z;03;2
E;24;G;04;2
G;04;Z;03;2

# G05 M13 N07 Z04 Y16
G;05;M;13;2
G;05;N;07;2
G;05;Z;04;2
G;05;Y;16;2
M;13;N;07;2
M;13;Z;04;2
M;13;Y;16;2
N;07;Z;04;2
N;07;Y;16;2
Z;04;Y;16;2

S;05;Z;06;2
S;05;T;07;2
T;07;Z;06;2

S;04;Y;14;2
S;04;N;09;2
N;09;Y;14;2

# E06 T06 Y13 N10
E;06;T;06;2
E;06;Y;13;2
E;06;N;10;2
T;06;Y;13;2
T;06;N;10;2
Y;13;n;10;2

# E01 S01 M08 E27
E;01;S;01;2
E;01;M;08;2
E;01;E;27;2
S;01;M;08;2
S;01;E;27;2
M;08;E;27;2

I;04;A;08;3
A;09;E;20;3
A;10;G;08;3

M;16;H;08;2
M;16;G;09;2
G;09;H;08;2

A;11;H;09;3
M;12;N;08;3
E;08;M;21;3

G;11;T;10;2
G;11;A;13;2
A;13;T;10;2

G;12;Z;09;3
H;12;T;11;3
E;15;T;12;3
E;14;Z;11;3
S;11;E;13;3
A;17;E;11;3
Y;21;E;16;3
Z;12;S;13;3
A;20;Z;14;3
G;19;A;18;3
G;16;H;17;3

E;09;G;15;2
E;09;H;16;2
H;16;G;15;2

S;08;H;15;5
A;15;S;09;3
A;14;H;13;3
H;21;C;18;3
E;01;E;28;3
Mb;05;Mb;06;2
